,Thermal file,Thermal mask file
0,Scene 1/SyncT/00043.jpg,Scene 1/thermalMasks/00043.jpg
1,Scene 1/SyncT/00044.jpg,Scene 1/thermalMasks/00044.jpg
2,Scene 1/SyncT/00045.jpg,Scene 1/thermalMasks/00045.jpg
3,Scene 1/SyncT/00046.jpg,Scene 1/thermalMasks/00046.jpg
4,Scene 1/SyncT/00047.jpg,Scene 1/thermalMasks/00047.jpg
5,Scene 1/SyncT/00048.jpg,Scene 1/thermalMasks/00048.jpg
6,Scene 1/SyncT/00049.jpg,Scene 1/thermalMasks/00049.jpg
7,Scene 1/SyncT/00050.jpg,Scene 1/thermalMasks/00050.jpg
8,Scene 1/SyncT/00051.jpg,Scene 1/thermalMasks/00051.jpg
9,Scene 1/SyncT/00052.jpg,Scene 1/thermalMasks/00052.jpg
10,Scene 1/SyncT/00053.jpg,Scene 1/thermalMasks/00053.jpg
11,Scene 1/SyncT/00054.jpg,Scene 1/thermalMasks/00054.jpg
12,Scene 1/SyncT/00055.jpg,Scene 1/thermalMasks/00055.jpg
13,Scene 1/SyncT/00056.jpg,Scene 1/thermalMasks/00056.jpg
14,Scene 1/SyncT/00057.jpg,Scene 1/thermalMasks/00057.jpg
15,Scene 1/SyncT/00058.jpg,Scene 1/thermalMasks/00058.jpg
16,Scene 1/SyncT/00059.jpg,Scene 1/thermalMasks/00059.jpg
17,Scene 1/SyncT/00060.jpg,Scene 1/thermalMasks/00060.jpg
18,Scene 1/SyncT/00061.jpg,Scene 1/thermalMasks/00061.jpg
19,Scene 1/SyncT/00062.jpg,Scene 1/thermalMasks/00062.jpg
20,Scene 1/SyncT/00063.jpg,Scene 1/thermalMasks/00063.jpg
21,Scene 1/SyncT/00064.jpg,Scene 1/thermalMasks/00064.jpg
22,Scene 1/SyncT/00065.jpg,Scene 1/thermalMasks/00065.jpg
23,Scene 1/SyncT/00066.jpg,Scene 1/thermalMasks/00066.jpg
24,Scene 1/SyncT/00067.jpg,Scene 1/thermalMasks/00067.jpg
25,Scene 1/SyncT/00068.jpg,Scene 1/thermalMasks/00068.jpg
