,Unnamed: 0,Thermal file,Thermal mask file
7349,2241,Scene 3/SyncT/01801.jpg,Scene 3/thermalMasks/01801.jpg
5249,141,Scene 3/SyncT/00180.jpg,Scene 3/thermalMasks/00180.jpg
7116,2008,Scene 3/SyncT/01568.jpg,Scene 3/thermalMasks/01568.jpg
426,426,Scene 1/SyncT/00246.jpg,Scene 1/thermalMasks/00246.jpg
7707,2599,Scene 3/SyncT/02159.jpg,Scene 3/thermalMasks/02159.jpg
3269,1,Scene 2/SyncT/00215.jpg,Scene 2/thermalMasks/00215.jpg
3852,584,Scene 2/SyncT/00664.jpg,Scene 2/thermalMasks/00664.jpg
4201,933,Scene 2/SyncT/01010.jpg,Scene 2/thermalMasks/01010.jpg
3113,3113,Scene 1/SyncT/00492.jpg,Scene 1/thermalMasks/00492.jpg
391,391,Scene 1/SyncT/00228.jpg,Scene 1/thermalMasks/00228.jpg
4328,1060,Scene 2/SyncT/01227.jpg,Scene 2/thermalMasks/01227.jpg
1303,1303,Scene 1/SyncT/01604.jpg,Scene 1/thermalMasks/01604.jpg
3574,306,Scene 2/SyncT/00435.jpg,Scene 2/thermalMasks/00435.jpg
1560,1560,Scene 1/SyncT/01733.jpg,Scene 1/thermalMasks/01733.jpg
2987,2987,Scene 1/SyncT/00366.jpg,Scene 1/thermalMasks/00366.jpg
3419,151,Scene 2/SyncT/00332.jpg,Scene 2/thermalMasks/00332.jpg
1762,1762,Scene 1/SyncT/01834.jpg,Scene 1/thermalMasks/01834.jpg
1277,1277,Scene 1/SyncT/01591.jpg,Scene 1/thermalMasks/01591.jpg
3246,3246,Scene 1/SyncT/01224.jpg,Scene 1/thermalMasks/01224.jpg
328,328,Scene 1/SyncT/00197.jpg,Scene 1/thermalMasks/00197.jpg
7910,2802,Scene 3/SyncT/02362.jpg,Scene 3/thermalMasks/02362.jpg
4018,750,Scene 2/SyncT/00830.jpg,Scene 2/thermalMasks/00830.jpg
6056,948,Scene 3/SyncT/00948.jpg,Scene 3/thermalMasks/00948.jpg
6085,977,Scene 3/SyncT/00957.jpg,Scene 3/thermalMasks/00957.jpg
7362,2254,Scene 3/SyncT/01814.jpg,Scene 3/thermalMasks/01814.jpg
4779,1511,Scene 2/SyncT/01808.jpg,Scene 2/thermalMasks/01808.jpg
2569,2569,Scene 1/SyncT/02237.jpg,Scene 1/thermalMasks/02237.jpg
4979,1711,Scene 2/SyncT/01978.jpg,Scene 2/thermalMasks/01978.jpg
6894,1786,Scene 3/SyncT/01351.jpg,Scene 3/thermalMasks/01351.jpg
6047,939,Scene 3/SyncT/00945.jpg,Scene 3/thermalMasks/00945.jpg
3720,452,Scene 2/SyncT/00532.jpg,Scene 2/thermalMasks/00532.jpg
6533,1425,Scene 3/SyncT/01170.jpg,Scene 3/thermalMasks/01170.jpg
2449,2449,Scene 1/SyncT/02177.jpg,Scene 1/thermalMasks/02177.jpg
2752,2752,Scene 1/SyncT/02329.jpg,Scene 1/thermalMasks/02329.jpg
926,926,Scene 1/SyncT/01281.jpg,Scene 1/thermalMasks/01281.jpg
5597,489,Scene 3/SyncT/00795.jpg,Scene 3/thermalMasks/00795.jpg
6817,1709,Scene 3/SyncT/01312.jpg,Scene 3/thermalMasks/01312.jpg
7238,2130,Scene 3/SyncT/01690.jpg,Scene 3/thermalMasks/01690.jpg
3104,3104,Scene 1/SyncT/00483.jpg,Scene 1/thermalMasks/00483.jpg
5816,708,Scene 3/SyncT/00868.jpg,Scene 3/thermalMasks/00868.jpg
7739,2631,Scene 3/SyncT/02191.jpg,Scene 3/thermalMasks/02191.jpg
6974,1866,Scene 3/SyncT/01426.jpg,Scene 3/thermalMasks/01426.jpg
5732,624,Scene 3/SyncT/00840.jpg,Scene 3/thermalMasks/00840.jpg
1220,1220,Scene 1/SyncT/01562.jpg,Scene 1/thermalMasks/01562.jpg
5559,451,Scene 3/SyncT/00783.jpg,Scene 3/thermalMasks/00783.jpg
4811,1543,Scene 2/SyncT/01824.jpg,Scene 2/thermalMasks/01824.jpg
4444,1176,Scene 2/SyncT/01343.jpg,Scene 2/thermalMasks/01343.jpg
7751,2643,Scene 3/SyncT/02203.jpg,Scene 3/thermalMasks/02203.jpg
2068,2068,Scene 1/SyncT/01987.jpg,Scene 1/thermalMasks/01987.jpg
